time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
0.0154,0.3,0.43,1.0,0.71,0.61,-0.24,-0.24
0.0561,2.46,2.78,1.05,0.71,0.61,-0.26,-0.24
0.0753,2.94,-2.74,1.55,0.69,0.62,-0.29,-0.25
0.0953,3.2,-1.45,1.71,0.68,0.62,-0.3,-0.26
0.1153,2.23,1.72,1.74,0.67,0.62,-0.31,-0.27
0.1363,1.04,0.67,2.05,0.66,0.62,-0.34,-0.28
0.2041,0.74,-2.0,1.93,0.64,0.61,-0.36,-0.29
0.2163,0.27,-1.72,3.22,0.61,0.6,-0.42,-0.33
0.2384,0.27,-2.09,3.27,0.59,0.59,-0.43,-0.33
0.2781,0.83,-3.37,2.23,0.58,0.59,-0.45,-0.34
0.2963,0.42,-0.88,2.91,0.56,0.59,-0.46,-0.36
0.3163,-0.53,-1.89,2.67,0.55,0.58,-0.47,-0.37
0.3363,-1.21,-1.71,1.8,0.54,0.58,-0.48,-0.37
0.3564,-1.12,-1.26,1.73,0.53,0.58,-0.49,-0.38
0.3763,0.15,-2.05,2.67,0.52,0.57,-0.5,-0.38
0.3964,0.87,-1.87,2.89,0.51,0.57,-0.51,-0.39
0.419,1.11,-2.24,2.83,0.51,0.57,-0.52,-0.39
0.4353,0.34,-1.86,3.03,0.5,0.57,-0.52,-0.4
0.4563,-0.15,-0.88,3.13,0.5,0.56,-0.53,-0.4
0.4753,0.57,-0.97,2.84,0.49,0.56,-0.53,-0.4
0.4964,1.27,-1.41,2.1,0.49,0.56,-0.53,-0.4
0.5191,1.2,-1.58,1.43,0.49,0.56,-0.53,-0.4
0.5363,0.16,0.02,1.27,0.49,0.56,-0.53,-0.4
0.5569,-0.19,0.29,1.15,0.49,0.56,-0.53,-0.4
0.577,0.27,0.0,0.45,0.49,0.56,-0.54,-0.4
0.5965,-0.08,-0.3,-0.02,0.49,0.56,-0.54,-0.4
0.6404,0.07,-0.07,-0.06,0.49,0.56,-0.53,-0.41
0.6564,-0.02,0.48,-0.21,0.49,0.56,-0.53,-0.41
0.6766,-0.41,0.12,-0.11,0.49,0.56,-0.54,-0.41
0.6963,0.13,0.18,-0.19,0.48,0.56,-0.54,-0.41
0.7164,0.48,-0.12,0.56,0.48,0.56,-0.54,-0.41
0.7463,1.06,-0.74,1.26,0.48,0.56,-0.54,-0.41
0.7669,2.89,-1.54,2.18,0.48,0.56,-0.53,-0.41
0.8441,4.53,-2.21,3.51,0.48,0.56,-0.53,-0.41
0.8553,5.93,-2.71,4.14,0.51,0.57,-0.5,-0.42
0.8763,6.0,-3.34,4.11,0.53,0.57,-0.48,-0.42
0.9061,5.83,-3.45,3.43,0.54,0.56,-0.46,-0.42
0.9263,3.36,-2.46,2.89,0.58,0.55,-0.43,-0.42
0.9463,2.25,-2.62,2.5,0.6,0.54,-0.41,-0.42
0.9667,0.67,-4.63,2.06,0.62,0.54,-0.38,-0.42
1.0281,0.18,-3.52,0.18,0.66,0.52,-0.34,-0.42
1.0467,-1.46,-1.11,-1.34,0.72,0.5,-0.25,-0.41
1.0767,-3.76,-1.25,-2.99,0.75,0.48,-0.2,-0.41
1.1222,-5.62,1.23,-2.8,0.77,0.46,-0.16,-0.4
1.1414,-4.1,0.47,-2.34,0.81,0.43,-0.12,-0.38
1.1564,-4.2,-1.17,-2.57,0.82,0.42,-0.11,-0.37
1.1763,-4.89,0.06,-2.48,0.83,0.41,-0.1,-0.36
1.1964,-4.87,1.28,-2.34,0.84,0.41,-0.09,-0.34
1.2163,-3.85,0.38,-2.32,0.85,0.41,-0.09,-0.33
1.2418,-3.31,-0.86,-3.3,0.85,0.41,-0.1,-0.32
1.3232,-2.31,-2.2,-3.89,0.85,0.41,-0.1,-0.31
